Scientific_species_name,Quantity
Anthus pratensis,19
Aquila chrysaetos,2
Circus cyaneus,1
Coloeus monedula,26
Corvus corax,6
Corvus cornix,10
Corvus corone,1
Falco tinnunculus,1
Oenanthe oenanthe,1
Parus major,2
Falco peregrinus,1
Prunella modularis,1
Troglodytes troglodytes,14
Turdus torquatus,3
