scientificName,North,South
Anthus pratensis,18,6
Aquila chrysaetos,2,5
Carduelis spinus,0,1
Circus cyaneus,1,0
Coloeus monedula,26,2
Corvus corax,6,0
Corvus cornix,10,0
Corvus corone,1,2
Cyanistes caeruleus,0,1
Erithacus rubecula,0,6
Falco peregrinus,1,0
Falco tinnunculus,1,0
Fringilla coelebs,0,5
Oenanthe oenanthe,1,0
Parus major,2,8
Periparus ater,0,11
Prunella modularis,1,4
Regulus regulus,0,1
Troglodytes troglodytes,14,15
Turdus torquatus,3,0
tyto alba,0,1
